Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Christian McCaffrey,Sam Darnold,Brandon Zylstra,David Johnson,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB2,TE2,54000,85.88000071048738,64289-55050,64289-63589,64289-82731,64289-62497,64289-57338
Christian McCaffrey,Sam Darnold,Robby Anderson,Terrace Marshall Jr.,Joey Slye,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR3,K,60000,85.78000116348268,64289-55050,64289-63589,64289-26251,64289-85672,64289-56378
Christian McCaffrey,Sam Darnold,Robby Anderson,Davis Mills,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,QB,WR3,60000,85.76294217390172,64289-55050,64289-63589,64289-26251,64289-89628,64289-41936
Christian McCaffrey,Brandon Zylstra,Dan Arnold,Davis Mills,Brandin Cooks,CAR,CAR,CAR,HOU,HOU,RB1,WR4,TE1,QB,WR1,57000,85.58000135421753,64289-55050,64289-82731,64289-80546,64289-89628,64289-29501
Christian McCaffrey,Sam Darnold,Terrace Marshall Jr.,Zane Gonzalez,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR3,K,RB2,58500,85.53000116348268,64289-55050,64289-63589,64289-85672,64289-39369,64289-62497
Christian McCaffrey,Sam Darnold,Robby Anderson,Zane Gonzalez,Chris Conley,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,K,WR2,59000,85.38000106811523,64289-55050,64289-63589,64289-26251,64289-39369,64289-30403
Christian McCaffrey,Sam Darnold,Robby Anderson,Terrace Marshall Jr.,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR3,RB2,59000,85.28000116348268,64289-55050,64289-63589,64289-26251,64289-85672,64289-62497
Christian McCaffrey,Sam Darnold,Terrace Marshall Jr.,David Johnson,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR3,RB2,K,58000,85.03000116348268,64289-55050,64289-63589,64289-85672,64289-62497,64289-56378
Christian McCaffrey,Sam Darnold,Robby Anderson,Chris Conley,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,WR2,K,58500,84.88000106811523,64289-55050,64289-63589,64289-26251,64289-30403,64289-56378
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Davis Mills,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,QB,TE2,58000,84.86000072956084,64289-55050,64289-63589,64289-82731,64289-89628,64289-57338
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Chris Conley,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,WR2,WR3,52000,84.68294177335852,64289-55050,64289-63589,64289-82731,64289-30403,64289-41936
Christian McCaffrey,Sam Darnold,Zane Gonzalez,David Johnson,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,RB2,WR2,57000,84.63000106811523,64289-55050,64289-63589,64289-39369,64289-62497,64289-30403
Christian McCaffrey,DJ Moore,Brandon Zylstra,Davis Mills,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,WR1,WR4,QB,WR3,56000,84.58294186872594,64289-55050,64289-63043,64289-82731,64289-89628,64289-41936
Christian McCaffrey,Sam Darnold,Zane Gonzalez,Mark Ingram II,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,RB1,TE2,59500,84.48000109195709,64289-55050,64289-63589,64289-39369,64289-14211,64289-57338
Christian McCaffrey,Sam Darnold,Robby Anderson,David Johnson,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,RB2,WR2,57500,84.38000106811523,64289-55050,64289-63589,64289-26251,64289-62497,64289-30403
Christian McCaffrey,Sam Darnold,Robby Anderson,Mark Ingram II,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,RB1,TE2,60000,84.23000109195709,64289-55050,64289-63589,64289-26251,64289-14211,64289-57338
Christian McCaffrey,Sam Darnold,Chuba Hubbard,Brandin Cooks,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,RB2,WR1,TE2,58500,84.18000113964081,64289-55050,64289-63589,64289-87467,64289-29501,64289-57338
Christian McCaffrey,Sam Darnold,DJ Moore,Chris Conley,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR1,WR2,TE2,60000,83.88000071048738,64289-55050,64289-63589,64289-63043,64289-30403,64289-57338
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Chris Conley,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,WR2,54000,83.83000087738037,64289-55050,64289-63589,64289-82731,64289-80546,64289-30403
Christian McCaffrey,Sam Darnold,Robby Anderson,Zane Gonzalez,Jordan Akins,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,K,TE2,58500,83.73000109195709,64289-55050,64289-63589,64289-26251,64289-39369,64289-57338
Christian McCaffrey,DJ Moore,Brandon Zylstra,Dan Arnold,Davis Mills,CAR,CAR,CAR,CAR,HOU,RB1,WR1,WR4,TE1,QB,58000,83.73000097274779,64289-55050,64289-63043,64289-82731,64289-80546,64289-89628
Christian McCaffrey,Sam Darnold,Robby Anderson,Jordan Akins,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,TE2,K,58000,83.23000109195709,64289-55050,64289-63589,64289-26251,64289-57338,64289-56378
Christian McCaffrey,Sam Darnold,Robby Anderson,Dan Arnold,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,TE1,WR3,55500,83.0829423455631,64289-55050,64289-63589,64289-26251,64289-80546,64289-41936
